thread,실
blister,물집
painful,고통스런
misstep,실족
hammertoe,갈고리 모양의 기형적인 발가락
describe,묘사하다 설명하다
as,로서
light,색이 연한
front,앞
sound like,처럼 들리다 소리 나다
unfinished,미완성의
stripe,줄무늬
herd,떼 무리
plain,평원
extinction,멸종
settler,정착민 개척자
protect,보호하다
grazing land,목초지
cattle,소
revolution,혁명
flee,달아나다 도망치다
publish,출판하다
earn,획득하다
neither A nor B A B,도 도 아니다
criticism,비평 비판
popularity,인기
above,위에 위쪽에
chart,도표 그림
marriage proposal,청혼 프러포즈
occur,일어나다 발생하다
in the course of,동안에
least little,의 최상급
those who,하는 사람들
more thanover,이상
previous,이전의
one fifth,분의
steadily,꾸준히
increase,증가하다
anyone who,하는 사람은 누구나
serious,진지한 진정인
gym,체육관 체육
according to,에 따르면
recent search,최근 연구
though,그러나
researcher,연구가
encourage,장려하다 권하다
limit,제한하다
amount,양
opportunity,기회
cause,의 원인이 되다
such as,와 같은
dizziness,현기증
avoid,피하다
sweat,땀을 흘리다
labor union,노동조합
economics,경제학
profession,직업
rise to fame,명성을 얻다
prediction,예측
predict,예언하다
in the past,과거에
even,비교급 훨씬 더욱
endless,끝이 없는
reflect,반영하다
reality,현실
island,섬
rather,차라리 오히려 어느 쪽인가 하면
as a result,결과적으로
southern,남쪽의
few,거의 없는
yet,그러나
thorn bush,가시덤불
despite,에도 불구하고
a variety of,다양한
landscape,경치 풍경
average,평균의
yearly,년의
around,약 대략
with,때문에
rainfall,강수량
tropical rain forest,열대우림
nap,선잠 잠시 졸기 낮잠
mostly,대개
common,흔한
generally,일반적으로
rate,비율
disease,질병
research,연구하다 조사하다
play a part,역할을 하다
reduce,줄이다
risk,위험
heart attack,심장 마비발작
healthy,건강한
take part in,에 참여하다
three times a week,일주일에 번
death,죽음
those who,하는 사람들
improve,개선하다 향상시키다
cash,현금
check,수표
decision,결정
rent,빌리다
task,일 과업 업무
even if,비록 일지라도
purchase,구입하다
experience,경험
much,비교급 훨씬
process,과정
unlike,와는 다르게
handle,취급하다
document,서류
receipt,영수증
record,기록
company,회사
look back at,을 다시 보다
statement,명세서
still,움직임 없는 고요한
weak,몸이 약한 허약한
lightlitlit,불을 켜다
shake,흔들다 떨다
cheer,활기 원기
spirit,마음 정신
all of sudden,갑자기
footstep,발소리 걸음걸이
approach,접근하다 다가서다
along,을 따라서
reach,도착하다
pause,잠시 쉬다
sense,알아채다 느껴 알다
presence,존재 있음
gradually,점차로 점진적으로
take shape,형체를 갖추다
perform trick,재주를 부리다
sign,징조 표시
be capable of,할 수 있다
perhaps,아마
surface,표면
look for,을 찾다
ring,종을울리다
enter,들어가다
do tricks,재주를 부리다
be filled with,으로 가득 차다
clap,손뼉을 치다
seal,물개
behavior,행동
consider,라고 여기다
trick,재주 곡예 책략
intelligence,지능
ability,능력
reason,추론하다 논리적으로 생각하다
solve,해결하다
by ing ing,하므로
previous,이전의 앞선
collection,수집 수집물
actually,실제로
quite a lot,많은
be likely toR R,할 것 같다
creative,창조적인
on the other hand,반면에
those who,하는 사람들
religious,종교적인
tend toR R,하는 경향이 있다
trust,믿다 신용하다
others,다른 사람들
hardworking,열심히 일하는
practical,현실적인
prefer,을 더 좋아하다
physically,신체적으로
active,활동적인
adventurous,모험을 좋아하는 대담한
athletic,운동경기의 운동선수다운 활발한
agreeable,기분 좋은 쾌적한 마음에 드는
view A as B A B,를 로 여기다
attractive,매력적인
taste,기호 취향
theory,이론
profession,직업
personality,성격
talent,재주
performance,공연
worst bad,의 최상급
fate,운명
fall upon,에게 일어나다
go out,불이 꺼지다
lock,잠그다
whip,채찍
protection,보호
circumstances,상황
survive,살아남다
calmly,침착하게
well known,잘 알려진
act,공연
rest,나머지
audience,청중
cage,우리
highlight,강조하다
suspense,긴장 불안
skillfully,능숙하게
treat,다루다
afterward,후에 나중에
admit,인정하다
fear,두려움
situation,상황
chilling,오싹하게 하는
point out,지적하다
although,에도 불구하고
calm,침착한 고요한
keep ing ing,계속해서 하다
crack,찰싹 때리다
drunk driving,음주 운전
headache,두통 골칫거리
modern,현대의
suffer from,로 고통 받다
seriously,심각하게 진지하게
unnecessarily,필요 없이
include,포함하다
innocent,죄 없는
passenger,승객
pedestrian,보행자
unable,할 수 없는
control,통제하다
vehicle,수송 수단 차량
carry out,시행하다
random,무작위의
breath,호흡 숨
realize,깨닫다
at any time,언제라도
as a result,그 결과
sharply,급격하게
convince,납득시키다
debate,토론 논쟁
as for,로 말하자면 은 어떠냐 하면
of no use,쓸모없는 무익한
for some time,얼마동안
fall,감소
figure,숫자 합계
distinguish,구별하다
effect,효과
accompanying,동시에 시행되는
advertising,광고
campaign,캠페인 조직적인 운동
regularly,규칙적으로
record,기록
basically,기본적으로
store,저장하다
display,보여주다
income,소득
nowadays,요즘
dolphin,돌고래
remain,남다
alone,혼자서
spread out,펼치다
shallow,얕은
shore,해안
encouragement,격려
forget,잊다
appreciate,감사하다
effort,노력
retirement,퇴직
connection,관련
goat,염소
accept,받아들이다
describe,묘사하다
consider,여기다
playfully,장난스럽게
annoying,성가신
make sense,일리가 있다
editorinchief,편집장
educator,교육자
necessity,필수품
imagination,상상
physically,신체적으로
develop,발달하다
get along with,와 잘 지내다
prefer A to B B A,보다 를 더 좋아하다
appear,나타나다
gain,얻다
knowledge,지식
normal,보통의
go through,겪다
whole,전체의
process,과정
throughout,에 걸쳐서
political,정치의
fail to,하지 못하다
instead of,대신에
satisfy,만족시키다
merely,단지
researcher,연구자
wrinkle,주름
bald,대머리의
gray,회색의
conclude,결론짓다
situation,상황
hairdressing salon,미용실
attractive,매력적인
attitude,태도
damage,손상시키다
doubt,의심
prepare,준비하다
repair,수리하다
convenience food,인스턴트식품
package,포장하다
reach into,속으로 손을 뻗다
method,방법
number,번호를 매기다
suppose,라고 가정하다
tip,끝
place,두다 배치하다
represent,나타내다
remaining,남아 있는
rosebud,장미 봉오리
bloom,개화하다
appeal,간청하다
explain,설명하다
receive,받다
response,반응 대답
respond,반응하다 대답하다
score,득점하다
detail,세부 사항
think of A as B A B,를 로 생각하다
evenly,균등하게
narrow,좁은
achieve,성취하다
suggest,시사하다
customer,고객
avoid,회피하다
dig,파다
scene,장면
openly,공개적으로
extraordinary,비범한
run,운영하다
sight,시력 시각
cliff,절벽
distant,먼
recently,최근에
attend,출석하다
gifted,재능이 있는
obey,따르다
get into trouble,어려움에 처하다
constant,지속적인
the instant,주어동사 하는 순간에
desire,욕구
matter,중요하다
convenient,편리한
have difficulty ing,하는 데 어려움을 겪다
accomplish,달성하다
available,이용할 수 있는
plenty,많음 다수
invention,발명
electric,전기의
dawn,새벽
various,다양한
wellpaid,보수가 좋은
academic,학문의 학구적인
opportunity,기회
present,현재의
Antarctica the South Pole,남극
amazingly,놀랍게도
valley,골짜기
coast,해변 해안
log,통나무
blanket,담요
pass by,지나가다
athlete,운동선수
stretch,뻗다 늘이다
muscle,근육
crash,쿵 떨어지다
bitter,쓴
blame,탓하다
gene,유전자
determine,결정하다
flavor,맛 향
unpleasantly,불쾌하게
decision,결정
place an order,주문을 하다
according to,에 따르면
consumer,소비자
actual,실제의
compare,비교하다
advertise,광고하다
exchange,교환하다
product,상품
merchant,상인
feed,먹이다
blacksmith,대장장이
nail,못
color,색칠하다
outline,윤곽선
zebra,얼룩말
uneasy,불안한
faintly,희미하게
direction,지시
hang hanghunghung,걸다
disappointed,실망한
pleased,기쁜
popular,인기 있는
engage inA A,에 참여하다
No matter where,어디에 한다 하더라도
withinA A,이내에
be good at,을 잘하다
individually,개인적으로
indeed,실제로
cane pole,낚싯대
hook,낚싯바늘
regardless of,와 상관없이
income,수입 소득
appeal,호소 매력
opportunity,기회
companionship,교류 교제
vary,다양하다
bait,미끼
line,낚싯줄
danger,위험
endangered,위험에 처한
species,생물학적 종
fearless,겁 없는
predator,약탈자
expert,전문가
specially,특별히 특히
stuffed,박제한
chase,추적하다
excellent,뛰어난 훌륭한
pleasure,기쁨 즐거움
Now that SV,때문에
pressure,압박
extracurricular activities,교과 외 활동의특활
management,관리 경영
extremely,매우
deal with,처리하다 다루다 취급하다
peer,동료 급우
make sure that SV,을 확신하다
balance,균형
relaxation,휴식
success,성공
theory,가설 이론
bacteria,세균
dose,회분 복용량
beneficial,유익한
keep A from B A B,가 하는 것을 막다
hospital,병원
pill,알약
effect,효과 영향 결과
risk,위험
diarrhea,설사
southern,남부의 남쪽의
amaze,깜짝 놀라게 하다
ancient,고대의
temple,사원
solid,단단한 견고한
date back,거슬러 올라가다
hide,숨기다 은닉하다
exist,존재하다
spread spreadspread,퍼지다
square,평방제곱 광장 사각형
enormous,거대한
several,몇몇의
stage,단계
marvelous,놀라운 기적적인
tomb,무덤
function,기능
popular,인기 있는
fantastic,환상적인
efficient,효율적인
lecture,강연 강의
pace,보폭 속도 페이스
suit,에 어울리다 맞추다 남자 정장 한 벌
pause,중단 정지
silence,침묵
tone,어조
pitch,높이 고저
emphasize,강조하다
clearly and directly,명확하고 직접적으로
avoid,피하다
freeze froze frozen,그자리에서 꼼짝못하게 하다 얼다
make full use of,을 최대한 이용하다
resources,자료
audiovisual aid,시청각 도구
illustrate,설명하다
enhance,강조하다 강화하다
tool,방법 도구
unfailingly,틀림없이
reduce,줄이다 감소하다
surrender,굴복하다 항복하다
be on ones way to A A,로 가는 중이다
appointment,약속
traffic,교통
roadwork,도로공사
accident,사건 사고
upset,화난
to the point ofA A,정도까지
physical action,신체적 반응
turn red,얼굴이 붉어지다
stomach,위 배
stir,뒤틀리다 휘젓다 꿈틀거리다
headache,두통
realize,깨닫다 알다
unreasonable,비이성적인
reaction,반응
take a deep breath,심호흡을 하다
accept,받아들이다 수용하다
powerlessness,무력함
relax,편안해 지다 긴장을 풀다
be busy ing,하느라 바쁘다
shop,쇼핑하다
happen toV,우연히 하다
foreigner,외국인
preference,선호 애호
ignore,무시하다
compelling,강압적인 강제적인
approach,접근하다 다가가다
closely,면밀히 세밀히
immediately,즉시
obey,복종하다
realize,깨닫다 알다
intended,의도된
ancient,고대의
regard A as B A B,를 로 간주하다
disease,질병
punishment,처벌
cause,일으키다 초래하다
viruses,바이러스 병균
microorganism,미생물
maintain,유지하다 관리하다 주장하다
largely,대체로 일반적으로
responsibility,책임감
practice,실행하다
preventive medicine,예방약
healthy,건강한
exercise,운동
prevent,예방하다 막다
illness,병
machine,기계
regular,규칙적인
effective,효과적인
be supposed toV,하기로 되어있다
pass,넘겨주다 건네주다
by word of mouth,구두로 말로
hand down,건네주다
generation,세대
poet,시인
professional,전문적인
storyteller,이야기꾼
appoint,지명하다
specific,특별한
myth,신화
retell,다시 말하다
educate,교육시키다
entertain,을 즐겁게 해주다
lodging,숙박
As often happens,흔히 그렇듯이
orally,구두로
details,세부사항
result,결과
version,각색 번역 편곡
culture,문화
sculptor,조각가
appear,인 것 같다 나타나다
garbage,쓰레기
heap,쌓아 놓는 것 더미
empty beer bottle,빈 맥주병
ashtray,재떨이
throw threwthrown,던지다 버리다
trash,쓰레기
sigh,한숨을 쉬다
mass,덩어리
mess,엉망진창
apparently,분명히 확실히
grasp,이해하다 알다 움켜잡다
estimate,평가하다
fortunately,다행히도
art gallery,미술관
rescue,구하다
item,물건 품목
recreate,다시 만들다 재창조하다
exhibit,전시
photograph,사진
traditional,전통적인
underfloor heating system,방구들 난방시스템
granite stone,화강암
support,지탱하다
mound,둔덕 흙무덤
be covered with,으로 덮여있다
oiled paper,기름 장판지
hot flue gases,뜨거운 통기관의 가스
hole,구멍
kitchen,부엌
direct,향하게 하다
stone,돌
radiate,방출하다 빛을 발하다
flow out,흘러나오다
chimney,굴뚝
unusually,몹시 대단히
tap,두드리다
shift,근무 교대 순번
notice,알다 주의하다 알아차리다
ride,탈것에타다
secretly,몰래
pedal,자전거 페달
manage toV,가까스로 하다
oddest,가장 기괴한
breathe,호흡하다
in spite of A A,에도 불구하고
complexity,복잡성
amazingly,놀랍게도
daughter,딸
participate in A A,에 참여참석하다
