english,korean
plentiful,adj . 풍부한 , 많은
establish,v . 설립 하다 . 세우다 확고히 하다
relevant,adj . 관련 있는 , 적절한
pick up,phr . 집어 들다 . 찾아 가다 : [ 사람 을 ] 태우 러 가다 . : 좋아 지다 , 회복 되다
abundant,adj . 풍부한 , 많은
seldom,adv . 좀처럼 [ 거의 ] ~ 않는
inventive,adj . 창의적인 , 독창성 이 있는
in case,con . ~ 인 경우를 대비해서 : 만약 ~ 인 경우에
term,n . 조건 : 임기 , 기간 : 용어
inexpensive,adj . 비싸지 않은
amount,n . 양 , 액수
typically,adv . 보통 , 일반적 으로
finalize,v . 마무리 짓다 , 완결 하다
adjustment,n . ( 약간 의 ) 수정 , 조정
based,adj . ( ~ 에 ) 기반을 둔 : 본사를 둔
certify,v . ( 특히 서면 으로 ) 증명 하다 . 자 격증 을 교부 하다
vast,adj . 어마 어마한 , 광활한
marginally,adv . 아주 조금 , 미미하게
drastically,adv . 대폭 으로 , 급격히
maximum,ad . 최대의
regretfully,adv . 유감 스럽게도
incomplete,adj . 미완성의 , 불완전한
enormously,adv . 엄청나게 , 굉장히
upcoming,adj . 다가오는 , 곧 있을
admirable,adj . 감탄 할만한
experience,n . 경험 v . 경험 하다 . 겪다
additional,adj . 주가 의 , 부가 적인
ethical,adj . 윤리적인
absolute,adj . 절대적인
humidity,n . 습도 , 습기
humidity,n . 습도 , 습기
lucrative,adj . 수익성이 있는 , 돈벌이가 되는
stable,adj . 안정된 , 안정적인
disruption,n . 중단 , 두절
disruption,n . 중단 , 두절
replace,v . 대체하다 . 교체하다
brief,adj . 간략한 , 짧은 v . ~ 에게 간단히 설명 하다 . 브리 평 하다
indeed,adv . 확실히 , 정말
plenty,n . 풍부한 양
incredible,adj . 엄청난
attached,adj . 첨부된
handle,v . 다루다 . 처리하다
celebratory,adj . 축하 하는 , 기념 하는
recognition,n . 인정 , 인식 , 알아 봄
publication,n . 간행물 , 출판물
reflect,v . 반영 하다 , 반사 하다
reflectionn,n. 반영 : 심사숙고
previously,adv . 이전에
inspect,v . 점검 하다
notice,n . 공지 , 통보 v . 알아 차리다
until further notice,추후 공지 가 있을 때 까지
initial,adj . 처음 의 , 초기 의 n . 첫 글자 , 머리 글자
competitor,n . 경쟁 업체 , 경쟁자 , ( 시합 ) 참가자
compete with 사람 for 목적,vi . 경쟁 하다
host,v . 개최 하다 . 주최 하다 n . ( 손님 을 초대 한 ) 주인 : ( TV . 라디오 프로 의 ) 진행자
atmosphere,n . 분위기
directly,adv . 곧바로 [ 즉시 ) , 직접
submission,n . ( 서류 · 제안서 등 의 ) 제출 ( 물 )
specialize,v . 전문 으로 하다
disappointing,adj . 실망 스러운 , 기대 에 어긋나 는
availability,n . 유효성 , 입수 가능성
largely,adv . 주로 , 대체로
refer,v . 보내다 . 소개 하다 언급 하다 . 참고 하다
refer to 명사,언급 하다 . ~ 을 참고 하다
refer A to B,A 를 B 에 소개 하다
adequate,adj . 충분한 : 적절한
appointment,n . ( 공적 ) 약속 , ( 진료 ) 예약 , 임명
concerning,prep.- 에 관한 , 관련된
launch,n . 개시 , 출시 v . 개시 하다 . 시작 하다
waterfront,n . ( 도시 의 ) 해안가 물가 , 부듯가
approximately,adv . 약 , 거의 , 대략
affordable,adj . ( 가격 등 이 ) 알맞은 , 감당할 수 있는
auditor,n . 회계 감사관
maintenance,n . 유지 : ( 보수 ) 관리
contribution,n . 기여 , 기부 ( 금 ) : 기고 , 투고
in light of,prep.- 에 비추어 , ~ 을 고려 하여
depend,v . 의존 하다 : ~ 에 달려 있다
be contingent on,~ 에 달려 있다
overhaul,v . 점검 하다 n . 점검
persuade,v . 설득 하다
conduct,v . ( 업무 따위 를 ) 실시 하다 , 수행 하다 n . 행위 품행 : 지휘
dramatic,adj . 극적인 , 인상적인
method,n . 방법 , 방식
contain,v.- 이 들어 있다 . 포함 하다
devoted,adj . 현신 적인 , 충실한
container,n . 용기 : ( 화물 ) 컨테이너
immediately,adv . 즉시 , 당장 에
accumulation,n . 축적 , 누적
capability,n . 능력 , 역량 : 용량
casually,adv . 이따금 , 문득 , 우연히 : ; 격식 을 차리지 않고 , 간편하게
component,n . 부품 , ( 구성 ) 요소
coverage,n . ( 적용 ) 범위 , 보급률
relinquish,v . ( 권리 등 을 ) 포기 [ 양도 ] 하다
relinquish one's right,권리를 포기하다
evenly,adv . 고르게 , 평평 하게
efficiently,adv . 능률적 으로 , 효율적 으로
expose,v . 드러내다 . 노출 시키다
client,n . 고객 , 의뢰인
function,n . 기능 ; 역할 v . 기능 하다 . 작동 하다
insulation,n . 절연체 : 단열 , 전열
hypothesis,n . 가설 , 추정
complete,v . 완료 하다 . 끝 마치다 adj . 완벽한 완전한
hypothetical,adj . 가정 의 , 가설 의
hypothesize,v . 가정 하다
supervisor,n . 상사 , 관리자
supervisor,n . 상사 , 관리자
diverse,adj . 다양한
arrangement,n . 준비 , 마련 : 합의 , 협의
directory,n . ( 이름 · 주소 등 의 ) 안내 책자 : ( 빌딩 의 ) 입주자 안내판
state,v . 말하다 . 진술 하다 : ( 문서 에 ) 명시 하다
district,n . 지구 ( 지역 ) , 구역
solidify,v . 굳히다 . 확고히 하다
assistant,n . 조력자 , 조수 , 비서
ideal,adj . 이상적인 , 가장 알맞은 n . 이상 , 이상적인 것
be ideal for,에 이상적 이다
be ideal for- 에 required,adj. 필수의
qualify,v.- 에게 자격 을 주다 . 적임 으로 하다
advance,v . 승진 하다 . 출세 하다 n . 진보 , 발전 : 승진
motivate,v . 동기 를 부여 하다 , 원인 이 되다
profit,n. 수익 이익 , v . 이익 ( 이득 ) 을 얻다
statistics,n 통계 ( 학 ) , 통계 자료
eliminate,v . 없애다 . 제거 하다
cover,v . ( 비용 따위 를 ) 충당 하다 . 대다 ; 다루다 . 포함 하다 : ( 보험 으로 ) 보장 하다
cover expenses,비용 을 대다 . 충당 하다
flexible,adj . 융통성 이 있는 , 유연한
renovate,v . 개조 하다 . 보수 하다
reimbursement,v . 변상 , 상환 , 환급
in advance,phr . 미리 , 사전에
adjustable,adj . 조절 가능한
inquiry,n . 문의 : 조사
manufacture,v . 제조 하다 . 생산 하다 n . 제조 , 생산
inquire,1V . 질문 하다
banquet,n . ( 공식 ) 연회 , 만찬 , 성찬
refreshing,adj . 신선한 , 상쾌 래 한 : 참신한
commute,v . 통근 하다 . 통학 하다 n 통근 ( 거리 )
remind,v . 상기 시키다 . 생각 나게 하다
registration,n . 등록 , 기재
leading,adj . 주요한 , 선두의
nominate,v . ( 후보자 로 ) 추천 하다 . 임명 하다 . 지정 하다
cancellation,n . 취소 , 무효화 : 취소 한 것
distribute,v . 유통 시키다 , 배부하다
invoice,n . 송장 , 청구서 ( - bill ) v . 청구서 [ 송장 ] 를 보내다
look forward to,phr.- 을 고대 하다 . 기다리다
specification,n . 설명서 , 세부 사항 , 내역
take effect,phr . 발효 하다 . 효력을 나타내다
fluctuation,n . 변동 , 파동
merger,n . ( 회사 의 ) 합병
mutually,adv . 서로 , 상호간에
mutual,ad . 상호간의
mutuality,n . 상호 관계
errand,n . 심부름 , 가벼운 볼일
imperative,adj . 반드시 해야 하는 , 긴요한
maximize,v . 극대화 하다 . 최대한 활용 하다
mind,v . 꺼리다 . 싫어 하다
individual,n . 개인 , 사람 adj . 개개 의 , 개인 의
determine,v . 결정 하다
instructor,n . 강사 , 지도자
instruct,v . 가르치다 ; 지시 하다
instruction,n . 교육 , 지시 사항
complimentary,adj . 무료의
employment,n . 취업 , 고용 , 채용
confidence,n . 신뢰 , 확신
advantage,n . 장점 , 이점
rise,n . 증가 , 상승 v . 오르다 . 증가 하다
awareness,n . ( - 의 중요성 에 대한 ) 의식 , 인식 , 관심
since,prep.- 이래로 conj.- 이래로 : - 때문에 adv . 그 ( 때 ) 이후 로
transfer,v . 옮기다 , 이동 하다 . 전근 하다 이체 하다 n . 이동 , 전근 , 환승
stand,v . 서다 . 서 있다 n . ( 공개적 으로 드러내는 ) 태도 [ 의견 ] : 가판대 , 좌판
stance,n . 입장 , 자세
awareness,n . ( - 의 중요성 에 대한 ) 의식 , 인식 , 관심
since,prep.- 이래로 conj.- 이래로 : - 때문에 adv . 그 ( 때 ) 이후 로
transfer,v . 옮기다 , 이동 하다 . 전근 하다 이체 하다 n . 이동 , 전근 , 환승
stand,v . 서다 . 서 있다 n . ( 공개적 으로 드러내는 ) 태도 [ 의견 ] : 가판대 , 좌판
support,n . 지지 , 후원 v . 지지 하다 . 후원 하다
retire,v . 은퇴 하다 . 퇴직 하다
resourceful,adj . 기지 가 있는 , 수완 이 좋은
predecessor,n . 전임자
praise,v . 칭찬 하다 n . 칭찬
particularly,adv . 특히 , 특별히
limited,ad , 제한된 , 부족한
hire,v . 고용 하다 n . 신입 직원
field,n . 분야 , 방면
dependable,adj . 믿을 수 있는 , 기댈 만한
duty,n . 직무 , 업무
commensurate,adj . ( 자질 등에 ) 상응 하는 . 비례 하는
appraisal,n . 평가 , 판단
skill,n . 기술 , 능력
renew,v . 연장 하다 , 갱신 하다
productivity,n . 생산성
recruit,n . 신입 사원 , 신입 회원 v . 모집 하다 , 채용 하다
recommendation,n . 추천 ( 서 ) , 권고
recruitment,n . 신규 모집
recruiter,n . 모집 자 , 채용자
listing,n . ( 공식적인 ) 목록 , 리스트 , 명단
evident,adj . 분명한 , 눈 에 띄는
timely,ad ) 시기 적절한 , 때 맞춘
evidence,n . 증거 , 흔적
evidently,adv . 분명히 , 눈 에 띄게
consideration,n . 고려 ( 사항 ) , 숙고
consistently,adv . 항상 , 일관 되게 , 지속적 으로
clerical,adj . 사무직의
accomplished,adj . ( 기량 이 ) 뛰어난 , 재주 가 많은
applicant,n . 지원자 , 신청자
operation,n . 사업 , 영업 , 운영 : 수술 : 작동
Insurance,n . 보험 : 보험금 , 보험료
distraction,n . 주의 산만 기분 전환
listing,n . ( 공식적인 ) 목록 , 리스트 , 명단
evident,adj . 분명한 , 눈 에 띄는
consideration,n . 고려 ( 사항 ) , 숙고
consistently,adv . 항상 , 일관 되게 , 지속적 으로
clerical,adj . 사무직 의
accomplished,adj . ( 기량 이 ) 뛰어난 , 재주 가 많은
applicant,n . 지원자 , 신청자
operation,n . 사업 , 영업 , 운영 : 수술 : 작동
Insurance,n . 보험 : 보험금 , 보험료
distraction,n . 주의 산만 기분 전환
statistics,n . 통계 ( 학 ) , 통계 자료
eliminate,v . 없애다 . 제거 하다
cover,v . ( 비용 따위 를 ) 충당 하다 . 대다 ; 다루다 . 포함 하다 : ( 보험 으로 ) 보장 하다
flexible,adj . 융통성 이 있는 , 유연한
statistical,adj . 통계 ( 상 ) 의
statistically,adv . 통계적 으로 , 통계 상 으로
renovate,v . 개조 하다 . 보수 하다
reimburse,n . 변제 하다 , 상환 하다
in advance,phr . 미리 , 사전 에
inquiry,n . 문의 : 조사
manufacture,v . 제조 하다 . 생산 하다 n . 제조 , 생산
contagious,adj . 전염성 의 : 퍼지기 쉬운
protective,adj . 보호 하는 , 보호용 의
predict,v . 예측 하다 . 예견 하다
deliver,v . 배달 하다 . 배송 하다 : ( 연설 을 ) 하다
introduce,v . 소개 하다 ; 도입 하다 . ( 상품 을 ) 선보이다
shipment,n . 수송 , 배송 ; 선적물 , 발송물
concern,n . 우려 , 걱정 : 관심사 v . 걱정 시키다 관계 하다
process,v . 처리 하다 : 가공 하다 n . 과정 , 절차
involve,v . 수반 ( 포함 ] 하다 . 연루 [ 참여 ] 시키다
attract,v . ( 사람 / 관심 ) 끌다 . 끌어 모으다
appear,v.- 인 것 같다 . 나타나다 나오다 , 출연 하다
appearance,n . ( 걸 ) 모습 , 외모 : 출현 : 출연
Itinerary,n . 여행 일정 ( 표 )
subscribe,v . ( 신문 · 잡지 등 을 ) 구독 하다
chemical,adj . 화학 의 , 화학적 인 n . 화학 약품 ( -s )
decline,n . 감소 , 하락 v . 줄어들 다 . 감소 하다 ( 1V ) : 거절 하다 ( 3V )
preparation,n . 준비 , 대비
film,n . 영화 v . 촬영 하다 . 영화화 하다
reduce,v . 줄이다 , 낮추다 . 인하 하다
security,n . 보안 , 경비
shift,n . 교대조 , 교대 근무 ( 시간 ) : 변화 , 변경 v . 이동 하다 . 옮기다
deadline,n . 기한 , 마감 시한
document,n . 서류 , 문서 v . ( 문서 에 ) 기록 하다
attentive,adj , 주의 를 기울이는 : 신경 을 쓰는
payable,adj . 지불 해야 하는 , 지불 가능한
extension,n . ( 기한 ) 연장 : 내선 ( 번호 ) , 구내 전화
manual,n . 설명서 , 안내서
resolve,v . 해결 하다 . 풀다
assignment,n . 임무 [ 업무 ] , 과제
contractor,n . 계약자 , 하청 업체
performance,n . 수행 , 실적 , 성과 공연
commercial,n . ( TV- 라디오 ) 광고 adj . 상업 의
resident,n . 거주자 , 주민 adi . 거주 [ 상주 ] 하는
annually,adv . 매년 , 해마다
anticipate,v . 예상 하다 . 예측 하다
financial,adj . 재정 의 , 금융 의
raise,vt 올리다 . 인상 하다 n . ( 임금 ) 인상 , 상승
revenue,n . 수익 , 소득
significant,ad . 상당한 중요한
nutrition,n . 영양물 , 영양 섭취
established,adj , 기성 의 , 확립 된 : 확고히 자리 를 잡은
relocate,v . 이동 하다 . 이전 하다
article,n . ( 신문 / 잡지 ) 등 의 글 , 기사 : 물품 , 물건
ongoing,adj . ( 계속 ) 진행 중인
donate,v . 기부 하다 , 기증 하다
corporate,adj . 법인 ( 체 ) 의 , 회사 의
for free,phr . 공짜 로 , 무료 로
purchase,n . 구입 ( 한 것 ) v . 구입 하다 . 사다
reschedule,v . 일정 을 변경 하다
valid,adj . 유효한 , 타당한
commitment,n . 전념 , 헌신 : 약속
temporarily,adv . 일시적 으로 , 임시 로
trial,n . 무료 체험 : 시험 , 실험 : 재판 adj . 시험 삼아 해보는 , 시험 적인
contribute,v . 기여 하다 . 기부 하다 : 기고 하다
contribute,v . 기여 하다 . 기부 하다 : 기고 하다
entire,adj . 전체 의 , 전부 의
revise,v . 수정 하다 . 변경 하다
historic,adj . 역사적인 , 역사 에 남을 만한
passenger,n . 승객 , 탑승객
executive,n . 간부 , 임원 , 중역
sponsor,n . 후원자 스폰서 v . 후원 하다
close,adj . 가까운 , 접근 한 | n . 닫다
construction,n . 건설 , 공사
entrance,n . 입구 : 문 들어가기 , 입장
entrance,n . 입구 : 문 들어가기 , 입장
facility,n . 시설 , 설비
occupy,v . 차지 하다 , ( 건물 을 ) 사용 하다
biologist,n . 생물 학자
renovation,n . 보수 공사 , 혁신 , 개혁
renovator,n . 혁신자
rent,v . ( 집을 ) 빌리다 . 임대 [ 임차 ] 하다 n . 집세
dispose,v . 처리 하다 . 처분 하다 ( of )
tenant,n . 세입자 : 거주자 v . ( 토지 / 가옥 등 을 ) 빌려 쓰다
leadership,n . 지도력 , 통솔력
develop,v . ( 필름 을 ) 현상 하다 : 발전 시키다
improve,v . 개선 하다 . 향상 시키다
assembly,n . ( 기계 의 ) 조립 , 조립 부품
instruction,n . 가르침 : 지시 , 설명서 ( -s )
register,v . 등록 하다 : 기록 하다
decade,n. 10 년
on-site,adj . 현장 의 , 현지 의
philanthropic,adj . 자선 의 , 박애 ( 주의 ) 의
quality time,n . ( 가족 / 친구 와 보내는 ) 즐거운 시간 , 값진 시간
application,n . 적용 , 응용 : 응용 프로그램 . 어플리케이션
apply,v . 쓰다 . 적용 하다 . 바르다 . 지원 하다 . 신청 하다
applicable,ad . 해당 [ 적용 1 되는
organize,v . 준비 ( 조직 ] 하다 정리 하다 . 체계화 ( 구조화 ] 하다
manage,v . 운영 ( 경영 ] 하다 , 관리 하다
congratulate,v . 축하 하다
survey,n . ( 설문 ) 조사 v . ( 설문 ) 조사 하다
entertainment,n . 오락 , 여흥 , 접대
status,n . ( 진행 과정 상의 ) 상황 , 상태 : 지위 , 신분
accurate,adj . 정확한 정밀한
equipment,n . 장비 , 설비 ( 불가 산 명사 )
replacement,n . 교체 , 대체 : 대체물 ( 대체자 ] . 대용품
share,v . ( 감정 / 생각 등 을 ) 공유 하다 ( 나누다 ] , n . 주식 , 지분 : 몫
conservation,n . ( 환경 / 문화재 등 의 ) 보호 , 보존
conserve,v . 보호 하다 . 보존 하다
conservative,adj. 보수적인
appreciate,v . 감사 하다 . 감상 하다
analyze,v . 분석 하다 , 검토 하다
anniversary,n . 기념일
defective,adj . 결함 이 있는
institute,v . ( 정책 등 을 ) 하다 , ( 절차 를 ) 시작 하다 . n . 기관 , 협회
procedure,n . 절차 , 순서
inconvenience,n . 불편 ( 한 것 )
inconvenience,n . 불편 ( 한 것 )
inconvenience,n . 불편 ( 한 것 )
inconvenient,ad . 불편한 , 곤란한
summarize,v . 요약 하다 . 개괄 하다
announce,v . 발표 하다 . 알리다
attend,v . 참석 하다
prestigious,ad . 명성 있는 , 일류 의
prestige,n . 명성 , 위신
upcoming,adj . 다가오는 , 곧 있을
retail,adj 소매 의 , 소매상 의 n 소매 v . 소매 하다 , ( 특정 가격 에 ) 팔리다
retailer,n . 소매 상인
credit,n . 신용 거래 , 신용도 : 칭찬 , 인정 입금 : 현금 처럼 사용 가능한 쿠폰 v . 입금 하다 : 공으로 믿다
consumer,n . 소비자
industry,n . 산업 , ( 특정 분야 의 ) 사업
competitive,adj . 경쟁력 있는 , 경쟁 의
convenient,adj . 편리한 가까운 , 접근 이 편리한
beverage,n . ( 물 이외 의 ) 음료 , 마실 것
culinary,adj . 요리 의 , 주방 의
community,n . 지역 사회 , 공동체
present,v . ( 영화 , 공연 을 ) 상연 / 제공 하다 . 제시 하다 : 나타내 다 adj . 현재 의 , 참석 한 [ préznt ] n . 선물 , 현재 [ prèznt 프레 즌트 ]
production,n . ( 영화 등 의 ) 제작 , 생산 : 상연 작품
currently,adv . 현재 , 지금
currently,adv . 현재 , 지금
reasonable,adi . ( 가격 이 ) 적정한 , 너무 비싸지 않은
reservation,n . 예약 ( = booking ) : ( 계획 · 생각 에 대한 ) 의구심 [ 거리낌 ]
charity,n . 자선 ( 단체 ) ; 구호 기금
identification,n . 신분 증명 ( 서 )
publisher,n . 출판인 , 출판사
diagnosis,n . ( 병원 ) 진단 , 진찰
promptly,adv . 지체 없이 , 즉시
container,n . 그릇 , 용기 : ( 운송용 ) 컨테이너
destructive,adj . 파괴 적인 , 유해한
arrange,v . 준비 하다 . 마련 하다 , 처리 하다 , 배열 / 배치 하다
productive,adj . 생산 적인 , 결실 있는
administrative,adj . 관리 상의 , 행정상 의
at all times,phr . 항상 , 언제나
deduct,v . 빼다 , 공제 하다
insufficient,adj 불충분 한 , 부족한
insufficient,adj 불충분 한 , 부족한
return,v . 돌려 주다 . 반납 하다 . 돌아 오다 , 돌아가다
revision,n . 수정 ( 사항 ) : 수정본 , 교정본
editor,n . 편집자 , 교정자
forward,v . 보내다 . 전달 하다
delighted,adj . 기뻐 하는 , 즐거워 하는
impressed,adj , 인상 깊게 생각 하는 , 감명 받은
attention,n . 주의 , 주목 , 관심
outstanding,adj 뛰어난 , 눈 에 띄는 , 미해결 의
attachment,n . 부착 : 첨부 ( 파일 )
informative,ad . 유익한 , 정보 를 제공 하는
strategy,n . 전략 , 전술
post,v . ( 안내문 등 을 ) 게시 ( 공고 ] 하다 . 불이다 . ( 편지 / 우편물 을 ) 부치다 . 발송 하다 n . 직책 : 기둥 : 우편 ( 물 )
related,adj . 관련 있는 , 관련된
emphasis,n . 강조 , 주안점
technician,n . 기술자 , 기사
commemorate,v . 기념 하다 . 축하 하다
patronage,n . 애용 : 후원
patron,n. 고객 , 이용객
supply,n . 비품 , 보급 ( 품 ) v . 공급 하다 . 제공 하다
convenience,n . 편의 , 편리 : 편리한 것 . 편의 시설
recipe,n . 조리법 , 요리법
hospitality,n . 환대 : 친절
transportation,n . 운송 , 교통
popular,adj . 인기 있는 , 대중 적인
artifact,n . 인공물 , 공예품
ancient artifacts,고대 유물
donation,n . 기부 , 기증
unavailable,adj . ( 사물 / 사람 이 ) 이용할 수 없는 , 손 에 넣을 수 없는
generosity,n . 너그러움 , 관대
gratitude,n . 감사
personal,adj . 개인적인 , 개인 의
access,v . ~ 에 들어가다 . 접근 하다 : 접속 하다 n . 접근 ( 권 ) , 입장
leave,v . 떠나다 : 남기다 . 남겨 두다 : 내버려 두다 . 방치 하다 n , 휴가
lead,v . 지휘 하다 , 이끌다 : ( 어떤 결과 에 ) 이르다
proposal,n . 제안 ( 서 ) , 제 의
fill,v . ( 일자리 에 사람 을 ) 채우다 ; ( 주문 대로 ) 이행 하다
celebrate,v . 기념 하다 . 축하 하다
subscription,n . 정기 구독 ( 료 )
independent,adj . 독립된 , 독자적인
further,adj . 더 이상의 , 추가 의 adv . 더 ( 멀리 ) , 게다가
blame,v . 탓 으로 돌리다 , 비난 하다
author,n , 작가 , 저자
borrow,v . 빌리다 . 차용 하다
session,n . ( 특정 활동 을 위한 ) 시간 , 과정
presentation,n . 발표 , 프레젠테이션
helpful,adj . 도움 이 되는 , 유용한
install,v . 설치 하다 . ( 프로그램 을 ) 깔다
installment,할부
installation,n . 설치 , 설치된 것
repair,n . 수리 , 수선 v . 수리 하다 . 수선 하다
direct,v.- 에게 길 을 안내 하다 . 가르쳐 주다 . ( ~ 로 ) 향하게 하다 . ( 편지 등 을 ) 보내다 adj . 직접적인 , 직행 의
deposit,n . 계약금 , 보증금 , 예금 v . 예금 하다 . 보증금 을 내다
perfectly,adv . 완전히 , 완벽 하게
valuable,adj . 가치 가 큰 : 소중한
furnished,adj . 가구 가 비치 된
furnish,v . ( 가구 를 ) 비치 하다
expect,v . 예기 하다 . 예상 하다
projection,n . 예상 , 추정
keep,v . 유지 하다 , ( 계속 ) 가지고 있다
intriguingly,adv . 흥미롭게 도 , 호기심 을 자극 하여
holder,n . 소지자 , 소유자
belong,v . ~ 에 소속 하다 . ~ 의 소유물 이다
exhibit,n . 전시 ( 회 ) , 출품 , 전시품 v . 전시 하다 . 나타내 다
decision,n . 결정 : 결단력
decisive,adj . 결정적인 : 결단력 있는
bring,v . 가져 오다 . 데려 오다
definitely,adv . 분명히 , 절대로
progress,n . 진행 , 진전 : 진보 v . 진행 ( 진전 ] 되다 , ( 시간 이 ) 지나다
approve,v . 승인 하다 . 인가 하다
welcome,adj . 환영 받는 : ~ 해도 좋은 v . 환영 하다 : 기꺼이 받아 들이다 n . 환영 , 환대
delay,v . 미루다 , 연기 [ 지연 ] 시키다 n . 연기 지연
invitation,n . 초대 : 초대장
directions,n . 방향 , 찾아가는 길 ; 사용법 , 안내 , 지시 ( 사항 )
positive,adj . 긍정적 인 , 호의적 인
reserve,v . 예약 하다 ( -book ) , 지정 하다 ( 권한 을 ) 갖다
evict,v . 쫓아 내다 , 퇴거 시키다
ownership,n . 소유 , 소유권
layout,n . 레이아웃 , 지면 배치 ( = foorplan 평면도 , 배치도 )
dimension,n . 크기 , 규모 , 범위
confident,adj . 자신감 있는 , 확신 하는
diligence,n . 근면 , 성실
wind up,phr . 결국 - 하게 되다
current,adj . 현재 의
experiment,v . 시도 하다 . 실험 삼아 해보다 n . ( 과학 적인 ) 실험
ambitious,adj . 야심 적인 , 야심 있는
exclusively,adv . 독점적 으로 , 오로지 : 배타적 으로
implement,v . 시행 하다 . 이행 하다 n . 연장 , 도구 ( 종종 -s ) : 수단
paperwork,n . 서류 작업 , 문서 업무
Implement,v.- 을 실행 하다
augment,v.- 을 증가 시키기다
clement,adj. 날씨가 좋은
inclement,adj. 날씨가 좋지 않은
subsequent to,prep.- 다음 에 , ~ 차후에
agenda,n . 안건 , 의제 : 의사 일정
brainstorm,v . 브레인 스토밍 을 하다 . 자유롭게 생각 하다
advisor,n . 고문 , 조언자
join,v.- 에 합류 하다 . , 입사 하다
collective,adj . 축적 된 : 공동 의
excluding,prep.- 을 제외 하고
suited,adj . 적합한 , 어울리는
transaction,n . 거래 , 업무 , 매매
certain,adj . 어떤 , 확실한 , 특정한 , 어느 정도 의
lay off,phr . ( 정리 ) 해고 하다
lay off,phr . ( 정리 ) 해고 하다
lay off,phr . ( 정리 ) 해고 하다
need,n . 필요 , 요구 , 욕구 : 필요한 것 ( -s ) v.- 할 필요 가 있다
redundancy,n . 과잉 , 여분 : 잉여 인원 [ 노동력 ]
redundant,adj . 여분 의 , 불필요한
repeatedly,adv . 되풀이 하여 , 여러 차례
streamline,v . ( 일 / 조직 등 을 ) 간소화 ( 능률화 ] 하다
streamlined,adj . 유선형 의 : 능률적 인 , 간결한
yield,v . ( 수익 / 결과 등 을 ) 내다 . 산출 하다 n . 산출 , 생산 ( 액 )
flaw,n . ( 사물 의 ) 결함
avoid,v . 피하다 . 방지 하다
exemplary,adj . 모범적 인 , 본보기 가 되는
informal,adj , 비공식 의 : 격식 에 얽매 이지 않는 , 편안한
renowned,adj . 유명한 , 명성 있는
acceptable,adj . 받아 들일 수 있는 , 마음 에 드는 , 만족 스러운
follow,v . 따라 가다 . ( 시간 / 순서 상 ) 뒤를 잇다 ; 주시 하다 ; ( 분명히 ) 이해 하다
terminate,v . 끝내다 . 종료 하다
termination,n . 종료
private,adj . 민간 의 , 사적인
reflective,adj . 반영 하는 , 반사 하는
description,. n . 서술 , 묘사
place an order,phr . 주문 하다
quantity,n . 양 , 수량
stock,n . 재고 ( 품 ) , 저장 v . ( 판매 할 상품 을 ) 갖춰 두고 있다
warranty,n . 보증 ( 서 ) , 권한
selection,n . 선발 , 선정 ( 된 것 )
accommodation,n . 숙박 시설
accommodate,v . 숙박 을 제공 하다 , 수용 하다
assorted,adj . 여러 가지 의 , 다채로운
assort,v . 분류 하다
assortment,n . 모듬 , 구색 갖춘 것 .
ingredient,n . ( 요리 ) 재료 , 성분
spacious,adj . 넓은 , 확 트인
spacious,adj . 넓은 , 확 트인
depart,v . 떠나다 , 출발 하다
separate,v . 떼어 놓다 : ( 따로 ) 떨어지다 adj . 분리 된 : 독립된
commission,n . 수수료 , 커미션 : 위원회 v . ( 제작 / 일 을 ) 의뢰 하다 . 주문 하다
save,v . ( 돈 을 ) 모으다 , 저축 하다
unease,n . 불안 ( 감 ) , 우려
uneasy,adj . 불안한 , 걱정 되는
compartment,n . 구획 , 구분 , 칸 객실
wing,n . ( 건물 의 ) 동 , 부속 건물
enrollment,n . 등록 , 기재 : 입학
landscape,n . 풍경 , 전망 v . 조경 을 하다
environment,n . 환경 , 주위 의 상황
environment,n . 환경 , 주위 의 상황
conscious,adj . 의식 하는 , 자각 하는
consciousness,n . 의식 , 자각
proficiency,n . 숙달 , 능숙 : 유창함
complication,n . 복잡한 상태 [ 문제 1 : 합병증
patent,v . 특허 를 받다 n . 특허 ( 권 ) ad 특허 의
waste,n . 쓰레기 , 폐기물 v . 낭비 하다 , 허비 하다
initiative,n . 계획 : 진취성 , 결단력 : 주도권 , 주도
suggestion,n . 제안 , 제 의
remove,v . 치우다 . 없애다 , 제거 하다
commuter,n . 통근자
vote,v . 투표 하다 ; ( 누군가 의 제안 에 ) 동의 하다 n . 투표 , 찬반 표시 : 투표권
frequently,adv . 자주 , 흔히
addition,n . 추가 ( 된 것 ) , 추가 물 : 충원 인력
assume,v . ( 임무 / 역할 / 책임 을 ) 맡다 . 가정 [ 추측 , 추정 ] 하다
assumption,n . 가정 : 인수 , 장악
assumable,adj , 맡겨 질 만한
object,v . 반대 하다 , 이의 를 제기 하다 n . 물건 , 물체 : 목적
observe,v . 관찰 하다 . 주시 하다 준수 하다
observation,n . 관찰
observance,n . ( 법률 의 ) 준수
observant,adj . 관찰력 있는 , 엄수 하는
apologize,v . 사과 하다 사죄 하다
indicate,v . 나타내 다 . 보여 주다 . 명시 하다
regret,v . 유감 스럽게 생각 하다 . 후회 하다 n . 유감 , 후회
venue,n . 개최지 , 장소 , 현장
curb,v . 억제 하다 . 제한 하다 n . 억제 , 속박 : ( 보도 의 ) 연석
significantly,adv . 상당히 , 크게
significant,adj. 중요한
